formatted_address,input_string,latitude,longitude,postcode,type,Culture
"1 Service St, Hampton VIC 3188, Australia",Bayside Library Service ,-37.9386488,145.0027125,3188,Library ,Itanlian
"Boroondara, VIC, Australia",City of Boroondara Library Service ,-37.8119024,145.0713904,,Library ,Itanlian
"301 Hampshire Rd, Sunshine VIC 3020, Australia",Brimbank Library ,-37.7835032,144.832086,3020,Library ,Itanlian
"310 Hare St, Echuca VIC 3564, Australia",Campaspe Regional Library ,-36.1235291,144.7488894,3564,Library ,Itanlian
"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",Casey Cardinia Library ,-37.929103,145.445716,3782,Library ,Itanlian
"178 Doveton St N, Ballarat VIC 3353, Australia",Central Highlands Library ,-37.5581412,143.8558981,3353,Library ,Itanlian
"55 Victoria St, Cobden VIC 3266, Australia",Corangamite Regional Library Corporation ,-38.327015,143.077078,3266,Library ,Itanlian
"32-38 Separation St, Northcote VIC 3070, Australia",Darebin Library ,-37.7697492,145.0008668,3070,Library ,Itanlian
"22 Service St, Bairnsdale VIC 3875, Australia",East Gippsland Shire Library ,-37.8254878,147.6286582,3875,Library ,Itanlian
"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",Eastern Regional Library Corporation ,-37.899665,145.2314091,3179,Library ,Itanlian
"60 Playne St, Frankston VIC 3199, Australia",Frankston City Library ,-38.1458786,145.1237116,3199,Library ,Itanlian
"Gannawarra, VIC, Australia",Gannawarra Library Service ,-35.7052801,143.8237385,,Library ,Itanlian
"51 Little Malop St, Geelong VIC 3220, Australia",Geelong Regional Library Corporation ,-38.1470618,144.35659,3220,Library ,Itanlian
"161 Jasper Rd, Bentleigh VIC 3204, Australia",Glen Eira Library Service ,-37.9196382,145.0413838,3204,Library ,Itanlian
"56 Percy St, Portland VIC 3305, Australia",Glenelg Library ,-38.3475034,141.6039378,3305,Library ,Itanlian
"98 Main St, Romsey VIC 3434, Australia",Goldfields Library Corporation ,-37.350094,144.7433941,3434,Library ,Itanlian
"79 Benalla Rd, Shepparton VIC 3630, Australia",Goulburn Valley Regional Library Corporation ,-36.384682,145.420904,3630,Library ,Itanlian
"225 Lonsdale St, Dandenong VIC 3175, Australia",Greater Dandenong Library ,-37.9886875,145.2135006,3175,Library ,Itanlian
"21 Docker St, Wangaratta VIC 3677, Australia",High Country Library Corporation ,-36.3550961,146.3200058,3677,Library ,Itanlian
"Hobsons Bay, VIC, Australia",Hobsons Bay Library ,-37.8360799,144.8401227,,Library ,Itanlian
"1093 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia",Hume Library ,-37.682569,144.9184922,3047,Library ,Itanlian
"34 High St, Yackandandah VIC 3749, Australia",Indigo Shire Library ,-36.3131959,146.8371729,3749,Library ,Itanlian
"63-65 Elgin St, Morwell VIC 3840, Australia",Latrobe City Library ,-38.239745,146.398892,3840,Library ,Itanlian
"539 Barkly St, West Footscray VIC 3012, Australia",Maribyrnong Library Service ,-37.797639,144.878139,3012,Library ,Itanlian
"328 Swanston St, Melbourne VIC 3000, Australia",Melbourne Library Service ,-37.8098087,144.9651897,3000,Library ,Itanlian
"31 McKenzie St, Melton VIC 3337, Australia",Melton City Library ,-37.6848506,144.581948,3337,Library ,Itanlian
"The Alfred Deakin Centre, 180 - 190 Deakin Ave, Mildura VIC 3500, Australia",Mildura Rural City Council Library Service ,-34.1907797,142.156646,3500,Library ,Itanlian
"113 High St, Broadford VIC 3658, Australia",Mitchell Shire Library Service ,-37.2027742,145.0487499,3658,Library ,Itanlian
"148 Drummond St, Oakleigh VIC 3166, Australia",Monash Public Library Service ,-37.8972,145.09046,3166,Library ,Itanlian
"762 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",Moonee Valley Library ,-37.7649143,144.9241479,3039,Library ,Itanlian
"737 Pascoe Vale Rd, Glenroy VIC 3046, Australia",Moreland City Library ,-37.7067078,144.9159724,3046,Library ,Itanlian
"Vancouver St, Mornington VIC 3931, Australia",Mornington Peninsula Library Service ,-38.2174986,145.0362602,3931,Library ,Itanlian
"49 Grant St, Alexandra VIC 3714, Australia",Murrindindi Library Service ,-37.1907056,145.7092901,3714,Library ,Itanlian
"319 Montague St, Albert Park VIC 3206, Australia",Port Phillip Library Service ,-37.8413817,144.956445,3206,Library ,Itanlian
"1 Winter St, Malvern VIC 3144, Australia",Stonnington Library & Information Service ,-37.859755,145.029415,3144,Library ,Itanlian
"53-67 Campbell St, Swan Hill VIC 3585, Australia",Swan Hill Regional Library Service ,-35.335562,143.558997,3585,Library ,Itanlian
"Corryong VIC 3707, Australia",Towong Shire Library ,-36.1960217,147.9029492,3707,Library ,Itanlian
"Wellington Shire Council, 70 Foster St, Sale VIC 3850, Australia",Wellington Shire Library ,-38.1118103,147.0639369,3850,Library ,Itanlian
"Regional Support Centre Unit, 2/65 Victoria St, Warragul VIC 3820, Australia",West Gippsland Regional Library Corporation ,-38.160077,145.929458,3820,Library ,Itanlian
"687 Doncaster Rd, Doncaster VIC 3108, Australia",Whitehorse Manningham Regional Library Corporation ,-37.7870199,145.1314944,3108,Library ,Itanlian
"28 McLachlan St, Horsham VIC 3400, Australia",Wimmera Regional Library Corporation ,-36.7128247,142.2010124,3400,Library ,Itanlian
"126 Hovell St, Wodonga VIC 3690, Australia",Wodonga Library ,-36.1241389,146.8888492,3690,Library ,Itanlian
"Pacific Werribee Shopping Centre, Level 1 MM11 Derrimut Road, Werribee VIC 3030, Australia",Wyndham City Library Service ,-37.8753489,144.6820197,3030,Library ,Itanlian
"340 Toorak Rd, South Yarra VIC 3141, Australia",Yarra Library ,-37.8401134,144.999451,3141,Library ,Itanlian
"Bag 65, Bundoora VIC 3083, Australia",Yarra Plenty Regional Library Service ,-37.69706,145.0590021,3083,Library ,Itanlian
"328 Swanston St, Melbourne VIC 3000, Australia",Public Library Victoria Network Inc (PLVN) ,-37.8098087,144.9651897,3000,Library ,Itanlian
"328 Swanston St, Melbourne VIC 3000, Australia",State Library Victoria ,-37.8098087,144.9651897,3000,Library ,Itanlian
"454 Glenferrie Rd, Kooyong VIC 3144, Australia",Vision Australia Information Library Service ,-37.838863,145.033169,3144,Library ,Itanlian
"1 Service St, Hampton VIC 3188, Australia",Bayside Library Service ,-37.9386488,145.0027125,3188,Library ,Mandarin
"Boroondara, VIC, Australia",City of Boroondara Library Service ,-37.8119024,145.0713904,,Library ,Mandarin
"301 Hampshire Rd, Sunshine VIC 3020, Australia",Brimbank Library ,-37.7835032,144.832086,3020,Library ,Mandarin
"310 Hare St, Echuca VIC 3564, Australia",Campaspe Regional Library ,-36.1235291,144.7488894,3564,Library ,Mandarin
"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",Casey Cardinia Library ,-37.929103,145.445716,3782,Library ,Mandarin
"178 Doveton St N, Ballarat VIC 3353, Australia",Central Highlands Library ,-37.5581412,143.8558981,3353,Library ,Mandarin
"55 Victoria St, Cobden VIC 3266, Australia",Corangamite Regional Library Corporation ,-38.327015,143.077078,3266,Library ,Mandarin
"32-38 Separation St, Northcote VIC 3070, Australia",Darebin Library ,-37.7697492,145.0008668,3070,Library ,Mandarin
"22 Service St, Bairnsdale VIC 3875, Australia",East Gippsland Shire Library ,-37.8254878,147.6286582,3875,Library ,Mandarin
"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",Eastern Regional Library Corporation ,-37.899665,145.2314091,3179,Library ,Mandarin
"60 Playne St, Frankston VIC 3199, Australia",Frankston City Library ,-38.1458786,145.1237116,3199,Library ,Mandarin
"Gannawarra, VIC, Australia",Gannawarra Library Service ,-35.7052801,143.8237385,,Library ,Mandarin
"51 Little Malop St, Geelong VIC 3220, Australia",Geelong Regional Library Corporation ,-38.1470618,144.35659,3220,Library ,Mandarin
"161 Jasper Rd, Bentleigh VIC 3204, Australia",Glen Eira Library Service ,-37.9196382,145.0413838,3204,Library ,Mandarin
"56 Percy St, Portland VIC 3305, Australia",Glenelg Library ,-38.3475034,141.6039378,3305,Library ,Mandarin
"98 Main St, Romsey VIC 3434, Australia",Goldfields Library Corporation ,-37.350094,144.7433941,3434,Library ,Mandarin
"79 Benalla Rd, Shepparton VIC 3630, Australia",Goulburn Valley Regional Library Corporation ,-36.384682,145.420904,3630,Library ,Mandarin
"225 Lonsdale St, Dandenong VIC 3175, Australia",Greater Dandenong Library ,-37.9886875,145.2135006,3175,Library ,Mandarin
"21 Docker St, Wangaratta VIC 3677, Australia",High Country Library Corporation ,-36.3550961,146.3200058,3677,Library ,Mandarin
"Hobsons Bay, VIC, Australia",Hobsons Bay Library ,-37.8360799,144.8401227,,Library ,Mandarin
"1093 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia",Hume Library ,-37.682569,144.9184922,3047,Library ,Mandarin
"34 High St, Yackandandah VIC 3749, Australia",Indigo Shire Library ,-36.3131959,146.8371729,3749,Library ,Mandarin
"63-65 Elgin St, Morwell VIC 3840, Australia",Latrobe City Library ,-38.239745,146.398892,3840,Library ,Mandarin
"539 Barkly St, West Footscray VIC 3012, Australia",Maribyrnong Library Service ,-37.797639,144.878139,3012,Library ,Mandarin
"328 Swanston St, Melbourne VIC 3000, Australia",Melbourne Library Service ,-37.8098087,144.9651897,3000,Library ,Mandarin
"31 McKenzie St, Melton VIC 3337, Australia",Melton City Library ,-37.6848506,144.581948,3337,Library ,Mandarin
"The Alfred Deakin Centre, 180 - 190 Deakin Ave, Mildura VIC 3500, Australia",Mildura Rural City Council Library Service ,-34.1907797,142.156646,3500,Library ,Mandarin
"113 High St, Broadford VIC 3658, Australia",Mitchell Shire Library Service ,-37.2027742,145.0487499,3658,Library ,Mandarin
"148 Drummond St, Oakleigh VIC 3166, Australia",Monash Public Library Service ,-37.8972,145.09046,3166,Library ,Mandarin
"762 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",Moonee Valley Library ,-37.7649143,144.9241479,3039,Library ,Mandarin
"737 Pascoe Vale Rd, Glenroy VIC 3046, Australia",Moreland City Library ,-37.7067078,144.9159724,3046,Library ,Mandarin
"Vancouver St, Mornington VIC 3931, Australia",Mornington Peninsula Library Service ,-38.2174986,145.0362602,3931,Library ,Mandarin
"49 Grant St, Alexandra VIC 3714, Australia",Murrindindi Library Service ,-37.1907056,145.7092901,3714,Library ,Mandarin
"319 Montague St, Albert Park VIC 3206, Australia",Port Phillip Library Service ,-37.8413817,144.956445,3206,Library ,Mandarin
"1 Winter St, Malvern VIC 3144, Australia",Stonnington Library & Information Service ,-37.859755,145.029415,3144,Library ,Mandarin
"53-67 Campbell St, Swan Hill VIC 3585, Australia",Swan Hill Regional Library Service ,-35.335562,143.558997,3585,Library ,Mandarin
"Corryong VIC 3707, Australia",Towong Shire Library ,-36.1960217,147.9029492,3707,Library ,Mandarin
"Wellington Shire Council, 70 Foster St, Sale VIC 3850, Australia",Wellington Shire Library ,-38.1118103,147.0639369,3850,Library ,Mandarin
"Regional Support Centre Unit, 2/65 Victoria St, Warragul VIC 3820, Australia",West Gippsland Regional Library Corporation ,-38.160077,145.929458,3820,Library ,Mandarin
"687 Doncaster Rd, Doncaster VIC 3108, Australia",Whitehorse Manningham Regional Library Corporation ,-37.7870199,145.1314944,3108,Library ,Mandarin
"28 McLachlan St, Horsham VIC 3400, Australia",Wimmera Regional Library Corporation ,-36.7128247,142.2010124,3400,Library ,Mandarin
"126 Hovell St, Wodonga VIC 3690, Australia",Wodonga Library ,-36.1241389,146.8888492,3690,Library ,Mandarin
"Pacific Werribee Shopping Centre, Level 1 MM11 Derrimut Road, Werribee VIC 3030, Australia",Wyndham City Library Service ,-37.8753489,144.6820197,3030,Library ,Mandarin
"340 Toorak Rd, South Yarra VIC 3141, Australia",Yarra Library ,-37.8401134,144.999451,3141,Library ,Mandarin
"Bag 65, Bundoora VIC 3083, Australia",Yarra Plenty Regional Library Service ,-37.69706,145.0590021,3083,Library ,Mandarin
"328 Swanston St, Melbourne VIC 3000, Australia",Public Library Victoria Network Inc (PLVN) ,-37.8098087,144.9651897,3000,Library ,Mandarin
"328 Swanston St, Melbourne VIC 3000, Australia",State Library Victoria ,-37.8098087,144.9651897,3000,Library ,Mandarin
"454 Glenferrie Rd, Kooyong VIC 3144, Australia",Vision Australia Information Library Service ,-37.838863,145.033169,3144,Library ,Mandarin
"1 Service St, Hampton VIC 3188, Australia",Bayside Library Service ,-37.9386488,145.0027125,3188,Library ,Hindi
"Boroondara, VIC, Australia",City of Boroondara Library Service ,-37.8119024,145.0713904,,Library ,Hindi
"301 Hampshire Rd, Sunshine VIC 3020, Australia",Brimbank Library ,-37.7835032,144.832086,3020,Library ,Hindi
"310 Hare St, Echuca VIC 3564, Australia",Campaspe Regional Library ,-36.1235291,144.7488894,3564,Library ,Hindi
"400A Belgrave-Gembrook Rd, Emerald VIC 3782, Australia",Casey Cardinia Library ,-37.929103,145.445716,3782,Library ,Hindi
"178 Doveton St N, Ballarat VIC 3353, Australia",Central Highlands Library ,-37.5581412,143.8558981,3353,Library ,Hindi
"55 Victoria St, Cobden VIC 3266, Australia",Corangamite Regional Library Corporation ,-38.327015,143.077078,3266,Library ,Hindi
"32-38 Separation St, Northcote VIC 3070, Australia",Darebin Library ,-37.7697492,145.0008668,3070,Library ,Hindi
"22 Service St, Bairnsdale VIC 3875, Australia",East Gippsland Shire Library ,-37.8254878,147.6286582,3875,Library ,Hindi
"1350 Ferntree Gully Rd, Scoresby VIC 3179, Australia",Eastern Regional Library Corporation ,-37.899665,145.2314091,3179,Library ,Hindi
"60 Playne St, Frankston VIC 3199, Australia",Frankston City Library ,-38.1458786,145.1237116,3199,Library ,Hindi
"Gannawarra, VIC, Australia",Gannawarra Library Service ,-35.7052801,143.8237385,,Library ,Hindi
"51 Little Malop St, Geelong VIC 3220, Australia",Geelong Regional Library Corporation ,-38.1470618,144.35659,3220,Library ,Hindi
"161 Jasper Rd, Bentleigh VIC 3204, Australia",Glen Eira Library Service ,-37.9196382,145.0413838,3204,Library ,Hindi
"56 Percy St, Portland VIC 3305, Australia",Glenelg Library ,-38.3475034,141.6039378,3305,Library ,Hindi
"98 Main St, Romsey VIC 3434, Australia",Goldfields Library Corporation ,-37.350094,144.7433941,3434,Library ,Hindi
"79 Benalla Rd, Shepparton VIC 3630, Australia",Goulburn Valley Regional Library Corporation ,-36.384682,145.420904,3630,Library ,Hindi
"225 Lonsdale St, Dandenong VIC 3175, Australia",Greater Dandenong Library ,-37.9886875,145.2135006,3175,Library ,Hindi
"21 Docker St, Wangaratta VIC 3677, Australia",High Country Library Corporation ,-36.3550961,146.3200058,3677,Library ,Hindi
"Hobsons Bay, VIC, Australia",Hobsons Bay Library ,-37.8360799,144.8401227,,Library ,Hindi
"1093 Pascoe Vale Rd, Broadmeadows VIC 3047, Australia",Hume Library ,-37.682569,144.9184922,3047,Library ,Hindi
"34 High St, Yackandandah VIC 3749, Australia",Indigo Shire Library ,-36.3131959,146.8371729,3749,Library ,Hindi
"63-65 Elgin St, Morwell VIC 3840, Australia",Latrobe City Library ,-38.239745,146.398892,3840,Library ,Hindi
"539 Barkly St, West Footscray VIC 3012, Australia",Maribyrnong Library Service ,-37.797639,144.878139,3012,Library ,Hindi
"328 Swanston St, Melbourne VIC 3000, Australia",Melbourne Library Service ,-37.8098087,144.9651897,3000,Library ,Hindi
"31 McKenzie St, Melton VIC 3337, Australia",Melton City Library ,-37.6848506,144.581948,3337,Library ,Hindi
"The Alfred Deakin Centre, 180 - 190 Deakin Ave, Mildura VIC 3500, Australia",Mildura Rural City Council Library Service ,-34.1907797,142.156646,3500,Library ,Hindi
"113 High St, Broadford VIC 3658, Australia",Mitchell Shire Library Service ,-37.2027742,145.0487499,3658,Library ,Hindi
"148 Drummond St, Oakleigh VIC 3166, Australia",Monash Public Library Service ,-37.8972,145.09046,3166,Library ,Hindi
"762 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",Moonee Valley Library ,-37.7649143,144.9241479,3039,Library ,Hindi
"737 Pascoe Vale Rd, Glenroy VIC 3046, Australia",Moreland City Library ,-37.7067078,144.9159724,3046,Library ,Hindi
"Vancouver St, Mornington VIC 3931, Australia",Mornington Peninsula Library Service ,-38.2174986,145.0362602,3931,Library ,Hindi
"49 Grant St, Alexandra VIC 3714, Australia",Murrindindi Library Service ,-37.1907056,145.7092901,3714,Library ,Hindi
"319 Montague St, Albert Park VIC 3206, Australia",Port Phillip Library Service ,-37.8413817,144.956445,3206,Library ,Hindi
"1 Winter St, Malvern VIC 3144, Australia",Stonnington Library & Information Service ,-37.859755,145.029415,3144,Library ,Hindi
"53-67 Campbell St, Swan Hill VIC 3585, Australia",Swan Hill Regional Library Service ,-35.335562,143.558997,3585,Library ,Hindi
"Corryong VIC 3707, Australia",Towong Shire Library ,-36.1960217,147.9029492,3707,Library ,Hindi
"Wellington Shire Council, 70 Foster St, Sale VIC 3850, Australia",Wellington Shire Library ,-38.1118103,147.0639369,3850,Library ,Hindi
"Regional Support Centre Unit, 2/65 Victoria St, Warragul VIC 3820, Australia",West Gippsland Regional Library Corporation ,-38.160077,145.929458,3820,Library ,Hindi
"687 Doncaster Rd, Doncaster VIC 3108, Australia",Whitehorse Manningham Regional Library Corporation ,-37.7870199,145.1314944,3108,Library ,Hindi
"28 McLachlan St, Horsham VIC 3400, Australia",Wimmera Regional Library Corporation ,-36.7128247,142.2010124,3400,Library ,Hindi
"126 Hovell St, Wodonga VIC 3690, Australia",Wodonga Library ,-36.1241389,146.8888492,3690,Library ,Hindi
"Pacific Werribee Shopping Centre, Level 1 MM11 Derrimut Road, Werribee VIC 3030, Australia",Wyndham City Library Service ,-37.8753489,144.6820197,3030,Library ,Hindi
"340 Toorak Rd, South Yarra VIC 3141, Australia",Yarra Library ,-37.8401134,144.999451,3141,Library ,Hindi
"Bag 65, Bundoora VIC 3083, Australia",Yarra Plenty Regional Library Service ,-37.69706,145.0590021,3083,Library ,Hindi
"328 Swanston St, Melbourne VIC 3000, Australia",Public Library Victoria Network Inc (PLVN) ,-37.8098087,144.9651897,3000,Library ,Hindi
"328 Swanston St, Melbourne VIC 3000, Australia",State Library Victoria ,-37.8098087,144.9651897,3000,Library ,Hindi
"454 Glenferrie Rd, Kooyong VIC 3144, Australia",Vision Australia Information Library Service ,-37.838863,145.033169,3144,Library ,Hindi
"170 Rindge Ave, Cambridge, MA 02140, USA",Reservoir Christian Fellowship Church,42.3924439,-71.131153,2140,Church/Temple,Itanlian
"209 Flinders Ln, Melbourne VIC 3000, Australia",Anglican Diocese of Melbourne Church,-37.8163569,144.9678441,3000,Church/Temple,Itanlian
"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia",City on a Hill Church,-37.812421,144.959797,3000,Church/Temple,Itanlian
"174 Collins St, Melbourne VIC 3000, Australia",Collins St. Baptist Church,-37.8147769,144.967508,3000,Church/Temple,Itanlian
"333 Swanston St, Melbourne VIC 3000, Australia",CrossCulture Church,-37.810456,144.963985,3000,Church/Temple,Itanlian
"156 Collins St, Melbourne VIC 3000, Australia",Scots Presbyterian Church,-37.8146055,144.9685126,3000,Church/Temple,Itanlian
"Flinders Ln & Swanston St, Melbourne VIC 3000, Australia",St Paul's Anglican Cathedral Church,-37.817029,144.967687,3000,Church/Temple,Itanlian
"148 Lonsdale St, Melbourne VIC 3000, Australia",Wesley Church Church,-37.810301,144.968247,3000,Church/Temple,Itanlian
"156 Collins St, Melbourne VIC 3000, Australia",West Footscray Presbyterian Church,-37.8146256,144.9681937,3000,Church/Temple,Itanlian
"156 Collins St, Melbourne VIC 3000, Australia",Flemington Presbyterian Church,-37.8146055,144.9685126,3000,Church/Temple,Itanlian
"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia",City on a Hill Church,-37.812421,144.959797,3000,Church/Temple,Itanlian
"120 Collins St, Melbourne VIC 3000, Australia",St. Michaels Church,-37.8142665,144.9696592,3000,Church/Temple,Itanlian
"156 Collins St, Melbourne VIC 3000, Australia",Indonesian Baptist Congregation Fellowship Church,-37.814644,144.96815,3000,Church/Temple,Itanlian
"Athenaeum Theatre, 188 Collins St, Melbourne VIC 3000, Australia",Hillsong Melbourne Church,-37.814868,144.9672932,3000,Church/Temple,Itanlian
"156 Collins St, Melbourne VIC 3000, Australia",Elwood Presbyterian Church,-37.8146256,144.9681937,3000,Church/Temple,Itanlian
"Ground Floor 262 Queen Street, Melbourne VIC 3000, Australia",City on a Hill Church,-37.812421,144.959797,3000,Church/Temple,Itanlian
"209 Flinders Ln, Melbourne VIC 3000, Australia",Anglican Parish Church,-37.8163569,144.9678441,3000,Church/Temple,Itanlian
"156 Collins St, Melbourne VIC 3000, Australia",Evangelical Presbyterian Church,-37.8146256,144.9681937,3000,Church/Temple,Itanlian
"500 Collins St, Melbourne VIC 3000, Australia",Exchange Church Church,-37.8178471,144.957636,3000,Church/Temple,Itanlian
"209 Flinders Ln, Melbourne VIC 3000, Australia",Anglican Parish Church,-37.8163569,144.9678441,3000,Church/Temple,Itanlian
"193 Hotham St, East Melbourne VIC 3002, Australia",Holy Trinity Anglican Church,-37.814255,144.983619,3002,Church/Temple,Itanlian
"176 Simpson St, East Melbourne VIC 3002, Australia",St Nicholas Antiochian Orthodox Church,-37.8103722,144.9891931,3002,Church/Temple,Itanlian
"15 Gisborne St, East Melbourne VIC 3002, Australia",St Peter's Anglican Church,-37.8097641,144.9751564,3002,Church/Temple,Itanlian
"193 Hotham St, East Melbourne VIC 3002, Australia",Holy Trinity Anglican Church,-37.814255,144.983619,3002,Church/Temple,Itanlian
"193 Hotham St, East Melbourne VIC 3002, Australia",Holy Trinity Anglican Parish Church,-37.814255,144.983619,3002,Church/Temple,Itanlian
"193 Hotham St, East Melbourne VIC 3002, Australia",Holy Trinity Anglican Church,-37.814255,144.983619,3002,Church/Temple,Itanlian
"193 Hotham St, East Melbourne VIC 3002, Australia",Holy Trinity Anglican Church,-37.814255,144.983619,3002,Church/Temple,Itanlian
"33 Howard St, West Melbourne VIC 3003, Australia",Melbourne West Church,-37.805901,144.952862,3003,Church/Temple,Itanlian
"400 City Rd, Southbank VIC 3006, Australia",Planetshakers Church,-37.8292387,144.9557145,3006,Church/Temple,Itanlian
"20 City Rd, Southbank VIC 3006, Australia",St Johns Southgate Lutheran Church,-37.8206506,144.9669925,3006,Church/Temple,Itanlian
"400 City Rd, Southbank VIC 3006, Australia",Planetshakers Church Melbourne City Campus Church,-37.8292387,144.9557145,3006,Church/Temple,Itanlian
"400 City Rd, Southbank VIC 3006, Australia",Planetshakers City Church,-37.8292387,144.9557145,3006,Church/Temple,Itanlian
"29-37 Ballantyne St, South Melbourne VIC 3006, Australia",Bethany International Church,-37.829305,144.957275,3006,Church/Temple,Itanlian
"252 Gordon St, Footscray VIC 3011, Australia",Footscray Church of Christ,-37.7974357,144.888167,3011,Church/Temple,Itanlian
"252 Gordon St, Footscray VIC 3011, Australia",Citigate Church,-37.797465,144.8880441,3011,Church/Temple,Itanlian
"60 Paisley St, Footscray VIC 3011, Australia",Footscray Baptist Church,-37.8002276,144.8952984,3011,Church/Temple,Itanlian
"302 Barkly St, Footscray VIC 3011, Australia",St Columba's Uniting Church,-37.7988541,144.8939246,3011,Church/Temple,Itanlian
"Yarraville VIC 3013, Australia",Westgate Baptist Church,-37.8161884,144.8805003,3013,Church/Temple,Itanlian
"26 Mason St, Newport VIC 3015, Australia",Newport Baptist Church,-37.8420547,144.8810005,3015,Church/Temple,Itanlian
"43 Paxton St, South Kingsville VIC 3015, Australia",C3 Church,-37.829152,144.870197,3015,Church/Temple,Itanlian
"43 Paxton St, South Kingsville VIC 3015, Australia",C3 Church,-37.829152,144.870197,3015,Church/Temple,Itanlian
"43 Paxton St, South Kingsville VIC 3015, Australia",C3 Church,-37.829152,144.870197,3015,Church/Temple,Itanlian
"1/100 Champion Rd, Newport VIC 3015, Australia",Langwarrin Vineyard Church,-37.849451,144.875844,3015,Church/Temple,Itanlian
"119 Douglas Parade, Williamstown VIC 3016, Australia",Williamstown Church of Christ,-37.854861,144.897094,3016,Church/Temple,Itanlian
"8 Electra St, Williamstown VIC 3016, Australia",Williamstown Gospel Mission Church,-37.8632636,144.8989724,3016,Church/Temple,Itanlian
"87 Cecil St, Williamstown VIC 3016, Australia",Willlamstown Presbyterian Church,-37.865315,144.9034802,3016,Church/Temple,Itanlian
"14 Sargood St, Altona VIC 3018, Australia",Altona Baptist Church,-37.8686146,144.8291259,3018,Church/Temple,Itanlian
"14 Sargood St, Altona VIC 3018, Australia",Altona Baptist Church,-37.8686146,144.8291259,3018,Church/Temple,Itanlian
"12A Sun Cres, Sunshine VIC 3020, Australia",Cloud Christian Church Church,-37.7875337,144.8307099,3020,Church/Temple,Itanlian
"8 Watt St, Sunshine VIC 3020, Australia",Hope of Life Community Church Church,-37.789061,144.829806,3020,Church/Temple,Itanlian
"41 Lance Rd, Sunshine North VIC 3020, Australia",Enjoy Church,-37.7613606,144.8430302,3020,Church/Temple,Itanlian
"120 Anderson Rd, Sunshine VIC 3020, Australia",Sunshine Presbyterian Church,-37.7840854,144.8278072,3020,Church/Temple,Itanlian
"95 Alfrieda St, St Albans VIC 3021, Australia",GROW Church,-37.73798,144.801553,3021,Church/Temple,Itanlian
"3 W Esplanade, St Albans VIC 3021, Australia",(Croatian) Seventh-day Adventist Church,-37.742811,144.797679,3021,Church/Temple,Itanlian
"18 Alexina St, St Albans VIC 3021, Australia",Parish of St Alban the Martyr Church,-37.739348,144.798288,3021,Church/Temple,Itanlian
