,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"30 Brewsters Rd, Yinnar South VIC 3869, Australia",ChIJ8WojmAJyKWsRXxWp7hcAa4I,"Yinnar South Primary School VIC,Australia",-38.3695962,146.3644361,1,3869,OK,"establishment,point_of_interest,school"
1,ROOFTOP,"30 Main St, Yinnar VIC 3869, Australia",ChIJVa0oGKhzKWsRKHizCdImU-Y,"Yinnar Primary School VIC,Australia",-38.32127,146.3288308,1,3869,OK,"establishment,point_of_interest,school"
2,ROOFTOP,"1936 Healesville - Koo Wee Rup Rd, Yellingbo VIC 3139, Australia",ChIJudNApT7WKWsRaIkqt1sbU4I,"Yellingbo Primary School VIC,Australia",-37.812729,145.508086,1,3139,OK,"establishment,point_of_interest,school"
3,ROOFTOP,"23 Station St, Yea VIC 3717, Australia",ChIJY0P-jev812oRCpLqfCfUTFU,"Yea Primary School VIC,Australia",-37.2131736,145.4280907,1,3717,OK,"establishment,point_of_interest,school"
4,ROOFTOP,"30 Powell St, Yarraville VIC 3013, Australia",ChIJoTbB70Vn1moRqa04mVvlKIk,"Yarraville West Primary School VIC,Australia",-37.8148373,144.8851424,1,3013,OK,"establishment,point_of_interest,school"
5,ROOFTOP,"540 Yan Yean Rd, Yarrambat VIC 3091, Australia",ChIJZzG4bHRK1moR1un6ymBfo-E,"Yarrambat Primary School VIC,Australia",-37.6409104,145.1333771,1,3091,OK,"establishment,point_of_interest,school"
6,ROOFTOP,"Hepburn Primary School, 156 Main Rd, Hepburn VIC 3461, Australia",ChIJKzRjE2PU1moR013UZC2GFeI,"Yandoit Primary School VIC,Australia",-37.3097352,144.1329817,3,3461,OK,street_address
7,GEOMETRIC_CENTER,"McKenzie Cres, Wycheproof VIC 3527, Australia",ChIJ6xIU24-N2moR3iwGrnXOigI,"Wycheproof P-12 College VIC,Australia",-36.075226,143.2282515,1,3527,OK,"establishment,point_of_interest,school"
8,GEOMETRIC_CENTER,"Barkhurst St, Wunghnu VIC 3635, Australia",ChIJd9lLzbih2GoRi12xfRVcBRY,"Wunghnu Primary School VIC,Australia",-36.150281,145.4302026,1,3635,OK,"establishment,point_of_interest,school"
9,ROOFTOP,"Woomelang Group School, 2 Roberts St, Woomelang VIC 3485, Australia",ChIJmbtYrIUyxWoR8OVB63Yv254,"Woomelang Group School VIC,Australia",-35.6819941,142.667313,1,3485,OK,street_address
10,ROOFTOP,"12 Manifold St, Woolsthorpe VIC 3276, Australia",ChIJxfdn4rNGzWoRmBJG-eq4Ahs,"Woolsthorpe Primary School VIC,Australia",-38.1874429,142.4314337,1,3276,OK,"establishment,point_of_interest,school"
11,ROOFTOP,"10 Gum Nut Dr, Langwarrin VIC 3910, Australia",ChIJTyZOywoM1moRH9wdcxyujws,"Woodlands Primary School VIC,Australia",-38.135271,145.203857,1,3910,OK,"establishment,point_of_interest,school"
12,GEOMETRIC_CENTER,"Tantaraboo Rd, Kilmore VIC 3764, Australia",ChIJx3VNdaOj12oRtBQ7twbul14,"Willowmavin Primary School VIC,Australia",-37.2591708,144.8884229,1,3764,OK,"establishment,point_of_interest,school"
13,ROOFTOP,"115 Cecil St, Williamstown VIC 3016, Australia",ChIJGXSlcOtm1moRdoPjw1FzaQE,"Williamstown Primary School VIC,Australia",-37.8640681,144.8997894,1,3016,OK,"establishment,point_of_interest,school"
14,ROOFTOP,"60 Merrilands Rd, Reservoir VIC 3073, Australia",ChIJxZUxzX9F1moRbmSTSKYEt-Y,"William Ruthven Primary School VIC,Australia",-37.6956166,145.0024376,1,3073,OK,"establishment,point_of_interest,school"
15,ROOFTOP,"18 Church St, Whorouly VIC 3735, Australia",ChIJv1Agi5-_JmsRkgjls_QAVmo,"Whorouly Primary School VIC,Australia",-36.5056553,146.5864932,2,3735,OK,"establishment,point_of_interest,school"
16,ROOFTOP,"2435 Plenty Rd, Whittlesea VIC 3757, Australia",ChIJTxRUnMG112oR_92kl2y5Vts,"Whittlesea Primary School VIC,Australia",-37.5149159,145.1142877,1,3757,OK,"establishment,point_of_interest,school"
17,ROOFTOP,"Whitfield Primary School, 6182 Mansfield-Whitfield Rd, Whitfield VIC 3733, Australia",ChIJKZDWSbv3JmsRzYDRbuXsuU8,"Whitfield District Primary School VIC,Australia",-36.765871,146.4123873,1,3733,OK,street_address
18,ROOFTOP,"70-86 Junction Rd, Blackburn North VIC 3130, Australia",ChIJwf-XT8I41moRdiNG5FptvDM,"Whitehorse Primary School VIC,Australia",-37.807888,145.1672033,1,3130,OK,"establishment,point_of_interest,school"
19,ROOFTOP,"16 Plumridge St, White Hills VIC 3550, Australia",ChIJDyN96vVY12oRYcqBr2u3TQ0,"White Hills Primary School VIC,Australia",-36.7274025,144.3040258,1,3550,OK,"establishment,point_of_interest,school"
20,ROOFTOP,"134-148 Whites Ln, Wheelers Hill VIC 3150, Australia",ChIJpTVgZNQ_1moRTwaGe8WQnGI,"Wheelers Hill Primary School VIC,Australia",-37.9003968,145.1780801,1,3150,OK,"establishment,point_of_interest,school"
21,ROOFTOP,"34-46 Riddell St, Westmeadows VIC 3049, Australia",ChIJbcxKlD1a1moRo4TcT4z1MGw,"Westmeadows Primary School VIC,Australia",-37.676201,144.896059,1,3049,OK,"establishment,point_of_interest,school"
22,ROOFTOP,"2-10 Pascoe St, Pascoe Vale VIC 3044, Australia",ChIJt06HCxlb1moR6rFsxgBJIJU,"Westbreen Primary School VIC,Australia",-37.7159685,144.9358315,1,3044,OK,"establishment,point_of_interest,school"
23,ROOFTOP,"22 Fairbank Rd, Clayton South VIC 3169, Australia",ChIJkWv6sDdr1moR_dMNnxbR09I,"Westall Primary School VIC,Australia",-37.941888,145.1365293,1,3169,OK,"establishment,point_of_interest,school"
24,ROOFTOP,"383 Napier St, White Hills VIC 3550, Australia",ChIJ386NnVRY12oRnESR9vaKQc4,"Weeroona College Bendigo VIC,Australia",-36.738644,144.297573,1,3550,OK,"establishment,point_of_interest,university"
25,GEOMETRIC_CENTER,"Cambrian Way, West Melton. VIC 3337, Australia",ChIJQfXw89zs1moR7GcHeboIUD8,"Wedge Park Primary School VIC,Australia",-37.6758874,144.5547313,1,3337,OK,"establishment,point_of_interest,school"
26,ROOFTOP,"225 Warrigal Rd, Burwood VIC 3125, Australia",ChIJkfsrolNA1moRv4DiSfM8xP0,"Wattle Park Primary School VIC,Australia",-37.8426999,145.0981243,1,3125,OK,"establishment,point_of_interest,school"
27,ROOFTOP,"240 Nell St, Watsonia VIC 3087, Australia",ChIJWejAT4xI1moRMX0dYSs8mnw,"Watsonia Primary School VIC,Australia",-37.7068969,145.0868998,1,3087,OK,"establishment,point_of_interest,school"
28,GEOMETRIC_CENTER,"47-49 Phillipson St, Wangaratta VIC 3676, Australia",ChIJEf4oVc7bJmsR1T4IMrKiWfo,"Wangaratta West Primary School VIC,Australia",-36.3541217,146.304447,1,3676,OK,"establishment,point_of_interest,school"
29,ROOFTOP,"19 Chisholm St, Wangaratta VIC 3677, Australia",ChIJPfyke6XbJmsRtFeRpUw-LLU,"Wangaratta Primary School VIC,Australia",-36.3552677,146.3287568,1,3677,OK,"establishment,point_of_interest,school"
30,ROOFTOP,"119 School Rd, Wandiligong VIC 3744, Australia",ChIJS7GZ2esmJGsRDCQj0QKkdUk,"Wandiligong Primary School VIC,Australia",-36.7691679,146.9830133,1,3744,OK,"establishment,point_of_interest,school"
31,ROOFTOP,"38-64 Wallarano Dr, Noble Park VIC 3174, Australia",ChIJf1l4TGMT1moRx_0jvMhY9JE,"Wallarano Primary School VIC,Australia",-37.9797476,145.1702437,1,3174,OK,"establishment,point_of_interest,school"
32,ROOFTOP,"Wales St Primary School, 49 Wales St, Thornbury VIC 3071, Australia",ChIJG3JfC2NE1moRIyMok-2-L5Q,"Wales Street Primary School VIC,Australia",-37.7618012,145.0085537,1,3071,OK,"establishment,point_of_interest,school"
33,ROOFTOP,"Undera Primary School, 45-55 Anderson St, Undera VIC 3629, Australia",ChIJEQ-QSdyN2GoRGE7OvUsHOJM,"Undera Primary School VIC,Australia",-36.2761332,145.2188884,1,3629,OK,street_address
34,GEOMETRIC_CENTER,"Broadmeadows Rd, Tullamarine VIC 3043, Australia",ChIJizI279tb1moRmYbYrhsz0pY,"Tullamarine Primary School VIC,Australia",-37.7021639,144.8789719,1,3043,OK,"establishment,point_of_interest,school"
35,ROOFTOP,"16 Tucker Rd, Bentleigh VIC 3204, Australia",ChIJaRl0l-Jr1moRfOaoCrHjf6Q,"Tucker Road Bentleigh Primary School VIC,Australia",-37.9323391,145.0493776,1,3204,OK,"establishment,point_of_interest,school"
36,ROOFTOP,"30-44 Grey St, Traralgon VIC 3844, Australia",ChIJt7TY2CIYKWsRF_vm4APyo00,"Traralgon (Grey Street) Primary School  VIC,Australia",-38.1927424,146.5368301,1,3844,OK,"establishment,point_of_interest,school"
37,ROOFTOP,"75 Bayview Rd, Tooradin VIC 3980, Australia",ChIJfyQ05JYG1moRa6f2ug--Drs,"Tooradin Primary School VIC,Australia",-38.2078878,145.3788701,1,3980,OK,"establishment,point_of_interest,school"
38,ROOFTOP,"69-77 Wren St, Toolamba VIC 3614, Australia",ChIJr2tpJed82GoRSUWwX9XfEeI,"Toolamba Primary School VIC,Australia",-36.4907183,145.3446609,1,3614,OK,"establishment,point_of_interest,school"
39,GEOMETRIC_CENTER,"Thomas Mitchell Dr, Endeavour Hills VIC 3802, Australia",ChIJLe3mrwMX1moRH7AAPYePerk,"Thomas Mitchell Primary School VIC,Australia",-37.9801562,145.2738858,1,3802,OK,"establishment,point_of_interest,school"
40,GEOMETRIC_CENTER,"Callistemon Dr, Hoppers Crossing VIC 3029, Australia",ChIJBxMO4RWP1moRs-o4K4I75PY,"The Grange P-12 College VIC,Australia",-37.8586824,144.6790299,1,3029,OK,"establishment,point_of_interest,school,university"
41,GEOMETRIC_CENTER,"Crestdale Rd & Birchfield Crescent, Wantirna VIC 3152, Australia",ChIJnYW8Dxw81moRf2nYbz10DVA,"Templeton Primary School VIC,Australia",-37.8608513,145.2321192,1,3152,OK,"establishment,point_of_interest,school"
42,ROOFTOP,"15 Birchwood Ave, Templestowe Lower VIC 3107, Australia",ChIJuUSrnqRH1moR4leHEdAWOfk,"Templestowe Valley Primary School VIC,Australia",-37.7600504,145.1098607,1,3107,OK,"establishment,point_of_interest,school"
43,GEOMETRIC_CENTER,"High St, Templestowe Heights VIC 3107, Australia",ChIJE2ccQZlH1moRzPsqNSm3psI,"Templestowe Heights Primary School VIC,Australia",-37.766487,145.11984,1,3107,OK,"establishment,point_of_interest,school"
44,ROOFTOP,"40-50 Loddon Dr, Taylors Hill VIC 3037, Australia",ChIJ_4NEL6P11moRMfwNI8slFyQ,"Taylors Hill Primary School VIC,Australia",-37.7168682,144.7598647,1,3037,OK,"establishment,point_of_interest,school"
45,ROOFTOP,"33 Service St, Tatura VIC 3616, Australia",ChIJv_DBRCli2GoRXiYKycSnY8I,"Tatura Primary School VIC,Australia",-36.444046,145.229684,1,3616,OK,"establishment,point_of_interest,school"
46,ROOFTOP,"98 High St, Taradale VIC 3447, Australia",ChIJ6_f-voM812oRhOcuZ-x1QzI,"Taradale Primary School VIC,Australia",-37.140726,144.3506301,1,3447,OK,"establishment,point_of_interest,school"
47,ROOFTOP,"24/34 Victoria Rd, Tallygaroopna VIC 3634, Australia",ChIJc5nW3o-e2GoRvZPriGUTcb8,"Tallygaroopna Primary School VIC,Australia",-36.2388322,145.4371617,1,3634,OK,"establishment,point_of_interest,school"
48,ROOFTOP,"2 Beatrice Ave, Surrey Hills VIC 3127, Australia",ChIJH3wvl-ZA1moR96SX3c1yvp0,"Surrey Hills Primary School VIC,Australia",-37.8253406,145.1014299,2,3127,OK,"establishment,point_of_interest,school"
49,ROOFTOP,"234 Yallambie Rd, Yallambie VIC 3085, Australia",ChIJT-n1VYdI1moR1Qr1xldcxvg,"Streeton Primary School VIC,Australia",-37.721649,145.10148,1,3085,OK,"establishment,point_of_interest,school"
50,ROOFTOP,"14-34 LIoyd Street, Strathmore VIC 3041, Australia",ChIJuZQcJ4Jb1moRZtXPvb7e5ug,"Strathmore Primary School VIC,Australia",-37.7352548,144.917024,1,3041,OK,"establishment,point_of_interest,school"
51,ROOFTOP,"52 Kings Rd, St Albans VIC 3021, Australia",ChIJz8CbIHz11moRavYbM6klZtw,"Stevensville Primary School VIC,Australia",-37.7363807,144.7813753,1,3021,OK,"establishment,point_of_interest,school"
52,GEOMETRIC_CENTER,"Cooper St, Stawell VIC 3380, Australia",ChIJcVOeUaLg0WoRbZ2HMAcaYTA,"Stawell West Primary School VIC,Australia",-37.0655276,142.7715824,1,3380,OK,"establishment,point_of_interest,school"
53,ROOFTOP,"68 Fitzroy St, St Kilda VIC 3182, Australia",ChIJxYA2iWto1moRcKAf81vEw9A,"St Kilda Park Primary SchoolVIC,Australia",-37.8579139,144.9775333,1,3182,OK,"establishment,point_of_interest,school"
54,GEOMETRIC_CENTER,"Charlton Rd, St Arnaud VIC 3478, Australia",ChIJhdklkqpn0GoRXGYTBAKDcX4,"St Arnaud Primary School VIC,Australia",-36.6104456,143.2572992,1,3478,OK,"establishment,point_of_interest,school"
55,ROOFTOP,"2a Laurel St, St Albans VIC 3021, Australia",ChIJ4XK3DbBf1moRzPVl0Op70pU,"St Albans Meadows Primary School VIC,Australia",-37.7529001,144.8177869,1,3021,OK,"establishment,point_of_interest,school"
56,ROOFTOP,"193 Spensley St, Clifton Hill VIC 3068, Australia",ChIJQYkic3VD1moR6fG4_58JKDQ,"Spensley Street Primary School VIC,Australia",-37.7867925,145.0035893,1,3068,OK,"establishment,point_of_interest,school"
57,GEOMETRIC_CENTER,"Inglewood St, Golden Square VIC 3555, Australia",ChIJGSh88lJX12oRPYoxH1XIubs,"Specimen Hill Primary School VIC,Australia",-36.7615239,144.2481487,1,3555,OK,"establishment,point_of_interest,school"
58,GEOMETRIC_CENTER,"Montgomery St, Skipton VIC 3361, Australia",ChIJUyNznBst0moRT7sjKuB5p5E,"Skipton Primary School VIC,Australia",-37.6867118,143.3680156,1,3361,OK,"establishment,point_of_interest,school"
59,ROOFTOP,"Simpson Primary School, 1 Princetown Rd, Simpson VIC 3266, Australia",ChIJ0Ti7XNDE0moRwzBRa5PgwsU,"Simpson Primary School VIC,Australia",-38.4990453,143.2090188,1,3266,OK,street_address
60,ROOFTOP,"77-123 Jacksons Rd, Noble Park North VIC 3174, Australia",ChIJSYZ9p00U1moRSqKtxGDyVzc,"Silverton Primary School VIC,Australia",-37.948838,145.193031,1,3174,OK,"establishment,point_of_interest,school"
61,ROOFTOP,"311 Mount Dandenong Tourist Rd, Sassafras VIC 3787, Australia",ChIJA-dkzPIk1moROFtptNTRhHk,"Sherbrooke Community School VIC,Australia",-37.867846,145.349311,1,3787,OK,"establishment,point_of_interest,school"
62,GEOMETRIC_CENTER,"15 School Road, Shepparton East VIC 3631, Australia",ChIJCSTmDhKC2GoRpgppI2_iMJY,"Shepparton East Primary School VIC,Australia",-36.4002339,145.4793572,1,3631,OK,"establishment,point_of_interest,school"
63,ROOFTOP,"84-90 Wilmot Rd, Shepparton VIC 3630, Australia",ChIJEa5S5VOB2GoRpvdL1-9W9TU,"Shepparton (Wilmot Road) Primary School  VIC,Australia",-36.3984105,145.4055839,1,3630,OK,"establishment,point_of_interest,school"
64,GEOMETRIC_CENTER,"Balaclava Rd & Bourchier Street, Shepparton VIC 3630, Australia",ChIJzd8SQIWD2GoRjM7haUC9mQs,"Shepparton (Bourchier Street) Primary School  VIC,Australia",-36.3675663,145.4132857,1,3630,OK,"establishment,point_of_interest,school"
65,ROOFTOP,"13 Tuckers Rd, Templestowe VIC 3106, Australia",ChIJ2SiuZ2k41moRUSGzqcCJBa4,"Serpell Primary School VIC,Australia",-37.7698457,145.1545889,1,3106,OK,"establishment,point_of_interest,school"
66,ROOFTOP,"15 Seaspray Rd, Seaspray VIC 3851, Australia",ChIJO0mK-dvbLmsRCXPcqsIjtfI,"Seaspray Primary School VIC,Australia",-38.3563235,147.1707702,1,3851,OK,"establishment,point_of_interest,school"
67,GEOMETRIC_CENTER,"Millers Rd & Civic Parade, Altona VIC 3018, Australia",ChIJr1Agbmxh1moRDgeEdTRm-dg,"Seaholme Primary School VIC,Australia",-37.8646752,144.8403946,1,3018,OK,"establishment,point_of_interest,school"
68,ROOFTOP,"81 Hallifax St, Seaford VIC 3198, Australia",ChIJOUqjcjRz1moRl2GzuNtafLo,"Seaford North Primary School VIC,Australia",-38.0896594,145.1342636,1,3198,OK,"establishment,point_of_interest,school"
69,ROOFTOP,"105 Point Cook Rd, Seabrook VIC 3028, Australia",ChIJuSKzrE6I1moRIMLC_X_MP3Q,"Seabrook Primary School VIC,Australia",-37.8791996,144.7584034,1,3028,OK,"establishment,point_of_interest,school"
70,ROOFTOP,"31 Bamfield St, Sandringham VIC 3191, Australia",ChIJA_ekp-Ju1moRIRO1BAvUfHc,"Sandringham Primary School VIC,Australia",-37.9471981,145.0089741,2,3191,OK,"establishment,point_of_interest,school"
71,ROOFTOP,"22 Dyer St, Rupanyup VIC 3388, Australia",ChIJQ_HK66fWz2oRBlm-ltsQTYE,"Rupanyup Primary School VIC,Australia",-36.6322538,142.6287956,1,3388,OK,"establishment,point_of_interest,school"
72,GEOMETRIC_CENTER,"Lockwood Dr, Roxburgh Park VIC 3064, Australia",ChIJ54sI46NR1moRbf1ooKVwU1s,"Roxburgh Rise Primary School VIC,Australia",-37.6161747,144.9227706,1,3064,OK,"establishment,point_of_interest,school"
73,ROOFTOP,"7/21 Almands Ave, Roxburgh Park VIC 3064, Australia",ChIJ7SHmtUxQ1moRJw3HL-oKOlw,"Roxburgh Park Primary School VIC,Australia",-37.6338651,144.9308736,1,3064,OK,"establishment,point_of_interest,school"
74,ROOFTOP,"33 McPherson Blvd, Roxburgh Park VIC 3064, Australia",ChIJGxgk6_hQ1moRm-x8jn_C8AE,"Roxburgh Homestead Primary School VIC,Australia",-37.632072,144.916242,1,3064,OK,"establishment,point_of_interest,school"
75,GEOMETRIC_CENTER,"Paratea Dr, Rowville VIC 3178, Australia",ChIJ1fWoqwIW1moRQh5_cawV2A0,"Rowville Primary School VIC,Australia",-37.92229,145.237666,1,3178,OK,"establishment,point_of_interest,school"
76,GEOMETRIC_CENTER,"Murray Rd, Dandenong North VIC 3175, Australia",ChIJS_07qtoV1moRqa6YnkZaXnM,"Rosewood Downs Primary School VIC,Australia",-37.9438842,145.2139572,1,3175,OK,"establishment,point_of_interest,school"
77,GEOMETRIC_CENTER,"Grandview Grove, Rosanna VIC 3084, Australia",ChIJr-Au7mxG1moRju5jAQCsczo,"Rosanna Primary School VIC,Australia",-37.7351731,145.063295,1,3084,OK,"establishment,point_of_interest,school"
78,ROOFTOP,"52 Landscape Dr, Mooroolbark VIC 3138, Australia",ChIJ-3xAyjIu1moROlGPGbRvrBI,"Rolling Hills Primary School VIC,Australia",-37.767244,145.326558,1,3138,OK,"establishment,point_of_interest,school"
79,GEOMETRIC_CENTER,"Aitchison St, Rokewood VIC 3330, Australia",ChIJ3ejRZRPC02oReBy5xwBnXcU,"Rokewood Primary School VIC,Australia",-37.903892,143.722682,1,3330,OK,"establishment,point_of_interest,school"
80,ROOFTOP,"63 Fordholm Rd, Hampton Park VIC 3976, Australia",ChIJf1aP9w8R1moRMxzXn259T_s,"River Gum Primary School VIC,Australia",-38.0340807,145.2613157,1,3976,OK,"establishment,point_of_interest,school"
81,GEOMETRIC_CENTER,"Carrington Grove, St Kilda East VIC 3183, Australia",ChIJedCqtFJo1moRxiZFBBqOzVg,"Ripponlea Primary School VIC,Australia",-37.8746566,145.0049094,1,3183,OK,"establishment,point_of_interest,school"
82,ROOFTOP,"Ripplebrook Primary School, 2260 Westernport Rd, Ripplebrook VIC 3818, Australia",ChIJ-dDJdoLuKWsR1wm1p4BL3oQ,"Ripplebrook Primary School VIC,Australia",-38.2035116,145.7575234,1,3818,OK,street_address
83,ROOFTOP,"25 Lennox St, Richmond VIC 3121, Australia",ChIJMUP3mfpC1moRD2nuHb5HDtU,"Richmond West Primary School VIC,Australia",-37.8135686,144.9958203,1,3121,OK,"establishment,point_of_interest,school"
84,ROOFTOP,"58 Boldrewood Parade, Reservoir VIC 3073, Australia",ChIJbREmfpZF1moRIcI1iYp-UoI,"Reservoir East Primary School VIC,Australia",-37.7203333,145.0228128,1,3073,OK,"establishment,point_of_interest,school"
85,ROOFTOP,"19 Nerrum Ave, Red Cliffs VIC 3496, Australia",ChIJ90iXr-APw2oR9laANrf4_LY,"Red Cliffs East Primary School VIC,Australia",-34.3050438,142.2148372,1,3496,OK,"establishment,point_of_interest,school"
86,GEOMETRIC_CENTER,"Raywood Primary School, 18-22 Sandhurst St, Raywood VIC 3570, Australia",ChIJMcvWymf62WoRSM-F0HOpG2Y,"Raywood Primary School VIC,Australia",-36.5393672,144.2050743,1,3570,OK,"establishment,point_of_interest,school"
87,ROOFTOP,"14/36 Lesdon Ave, Cranbourne VIC 3977, Australia",ChIJkQko4dUP1moRsMo5WVKUdB4,"Rangebank Primary School VIC,Australia",-38.0873496,145.2756421,1,3977,OK,"establishment,point_of_interest,school"
88,ROOFTOP,"25 Peel St, Quarry Hill VIC 3550, Australia",ChIJe6iKah9a12oRklRmb-GD_fk,"Quarry Hill Primary School VIC,Australia",-36.7752946,144.2799577,1,3550,OK,"establishment,point_of_interest,school"
89,ROOFTOP,"13 Charlton Rd, Quambatook VIC 3540, Australia",ChIJa7G9yAJT2moRHxqDBGj9UWs,"Quambatook Group School VIC,Australia",-35.855652,143.518673,1,3540,OK,"establishment,point_of_interest,school"
90,ROOFTOP,"280 Pigdon St, Princes Hill VIC 3054, Australia",ChIJwVzIvTlD1moRRrrK_JwA2q4,"Princes Hill Primary School VIC,Australia",-37.7805923,144.9680095,2,3054,OK,"establishment,point_of_interest,school"
91,ROOFTOP,"383 Murray Rd, Preston VIC 3072, Australia",ChIJgfP8ovpE1moR2Mgr_zx4tDU,"Preston West Primary School VIC,Australia",-37.7376288,144.9955553,1,3072,OK,"establishment,point_of_interest,school"
92,GEOMETRIC_CENTER,"Hotham St, Preston VIC 3072, Australia",ChIJf2awzVhE1moRU9DPtlhptXo,"Preston South Primary School VIC,Australia",-37.7480144,145.0075304,1,3072,OK,"establishment,point_of_interest,school"
93,ROOFTOP,"240 Tyler St, Preston VIC 3072, Australia",ChIJY0fP_atF1moRBpCdEh_sfB8,"Preston Primary School VIC,Australia",-37.7305576,145.0103551,1,3072,OK,"establishment,point_of_interest,school"
94,ROOFTOP,"93 Tyler St, Preston VIC 3072, Australia",ChIJF_LlXMhF1moRTCt5B0bx8Mc,"Preston North East Primary School VIC,Australia",-37.733588,145.029469,1,3072,OK,"establishment,point_of_interest,school"
95,GEOMETRIC_CENTER,"Albert St, Port Fairy VIC 3284, Australia",ChIJMZMYz1xhnaoRC47SqZVtgmg,"Port Fairy Consolidated School VIC,Australia",-38.386735,142.227676,1,3284,OK,"establishment,point_of_interest,school"
96,GEOMETRIC_CENTER,"Martley St, Porepunkah VIC 3740, Australia",ChIJn3bQiCSeJmsRhh2ZxB_vDW8,"Porepunkah Primary School VIC,Australia",-36.6976565,146.9123505,1,3740,OK,"establishment,point_of_interest,school"
97,ROOFTOP,"27 Ranceby Rd, Poowong VIC 3988, Australia",ChIJX5LEBCL0KWsRNEkRsL9N36w,"Poowong Consolidated School VIC,Australia",-38.3424345,145.7690371,1,3988,OK,"establishment,point_of_interest,school"
98,GEOMETRIC_CENTER,"Ararat-Halls Gap Rd, Pomonal VIC 3381, Australia",ChIJY9HT9noEzmoRsrChEBPy5UI,"Pomonal Primary School VIC,Australia",-37.1933156,142.6086641,1,3381,OK,"establishment,point_of_interest,school"
